tour,date,tournament,winner,loser,B365W,B365L,PSW,PSL
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Bublik A.,Mannarino A.,2,1.72,2.21,1.74
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Moutet C.,Sandgren T.,1.57,2.25,1.6,2.47
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Verdasco F.,Andujar P.,1.25,3.75,1.31,3.74
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Bedene A.,Ymer M.,1.83,1.83,1.97,1.92
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Chardy J.,Barrere G.,1.5,2.5,1.54,2.62
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Kecmanovic M.,Thompson J.,1.66,2.1,1.74,2.21
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Krajinovic F.,Edmund K.,1.83,1.83,1.9,1.99
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Djere L.,Sonego L.,3,1.36,3.18,1.4
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Fucsovics M.,Tiafoe F.,2,1.72,2.03,1.86
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Ilkel C.,Berankis R.,3.5,1.28,3.34,1.37
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Kukushkin M.,Jaziri M.,1.28,3.5,1.31,3.74
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Herbert P.H.,Cecchinato M.,1.53,2.37,1.57,2.55
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Bedene A.,Bublik A.,1.66,2.1,1.83,2.09
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Wawrinka S.,Chardy J.,1.3,3.4,1.43,3.08
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Rublev A.,Kukushkin M.,1.3,3.4,1.29,4.01
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Fucsovics M.,Ilkel C.,1.16,5,1.26,4.34
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Verdasco F.,Krajinovic F.,2.25,1.57,2.4,1.65
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Herbert P.H.,Djere L.,1.44,2.62,1.45,2.99
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Kecmanovic M.,Tsonga J.W.,2.1,1.66,2.48,1.61
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Moutet C.,Raonic M.,2.75,1.4,2.9,1.47
ATP,2020-01-09 00:00:00,Qatar Exxon Mobil Open,Kecmanovic M.,Fucsovics M.,1.61,2.3,1.69,2.34
ATP,2020-01-10 00:00:00,Qatar Exxon Mobil Open,Rublev A.,Herbert P.H.,1.25,4,1.32,3.79
ATP,2020-01-10 00:00:00,Qatar Exxon Mobil Open,Moutet C.,Verdasco F.,2.3,1.61,2.56,1.59
ATP,2020-01-10 00:00:00,Qatar Exxon Mobil Open,Wawrinka S.,Bedene A.,1.33,3.4,1.35,3.6
ATP,2020-01-10 00:00:00,Qatar Exxon Mobil Open,Rublev A.,Kecmanovic M.,1.66,2.2,1.63,2.44
ATP,2020-01-10 00:00:00,Qatar Exxon Mobil Open,Moutet C.,Wawrinka S.,3.5,1.3,4.3,1.26
ATP,2020-01-11 00:00:00,Qatar Exxon Mobil Open,Rublev A.,Moutet C.,1.22,4.33,1.25,4.5
ATP,2020-01-12 00:00:00,ASB Classic,Bublik A.,Fritz T.,2.25,1.57,2.48,1.6
ATP,2020-01-12 00:00:00,ASB Classic,Cuevas P.,Opelka R.,3.5,1.28,3.79,1.31
ATP,2020-01-12 00:00:00,ASB Classic,Djere L.,Popyrin A.,3,1.36,3.16,1.4
ATP,2020-01-13 00:00:00,ASB Classic,Chardy J.,Simon G.,1.66,2.1,1.76,2.17
ATP,2020-01-13 00:00:00,ASB Classic,Evans D.,Londero J.I.,1.36,3,1.31,3.8
ATP,2020-01-13 00:00:00,ASB Classic,Harris L.,Garin C.,1.83,1.83,1.81,2.1
ATP,2020-01-13 00:00:00,ASB Classic,Querrey S.,Barrere G.,1.57,2.25,1.63,2.42
ATP,2020-01-13 00:00:00,ASB Classic,Duckworth J.,Delbonis F.,1.72,2,1.75,2.19
ATP,2020-01-14 00:00:00,ASB Classic,Paul T.,Bedene A.,1.83,1.83,1.94,1.94
ATP,2020-01-14 00:00:00,ASB Classic,Ramos-Vinolas A.,Thompson J.,2.25,1.57,2.33,1.67
ATP,2020-01-14 00:00:00,ASB Classic,Struff J.L.,Caruso S.,1.28,3.5,1.24,4.44
ATP,2020-01-14 00:00:00,ASB Classic,Bolt A.,Robert S.,,,,
ATP,2020-01-14 00:00:00,ASB Classic,Evans D.,Bublik A.,1.57,2.25,1.7,2.29
ATP,2020-01-15 00:00:00,ASB Classic,Harris L.,Djere L.,1.4,2.75,1.46,2.94
ATP,2020-01-15 00:00:00,ASB Classic,Rublev A.,Querrey S.,1.66,2.1,1.64,2.42
ATP,2020-01-15 00:00:00,ASB Classic,Paul T.,Cuevas P.,1.5,2.5,1.52,2.74
ATP,2020-01-15 00:00:00,ASB Classic,Carreno Busta P.,Chardy J.,1.83,1.83,1.85,2.06
ATP,2020-01-15 00:00:00,ASB Classic,Ramos-Vinolas A.,Munar J.,1.66,2.1,1.81,2.11
ATP,2020-01-15 00:00:00,ASB Classic,Bolt A.,Struff J.L.,4,1.22,3.83,1.31
ATP,2020-01-15 00:00:00,ASB Classic,Auger-Aliassime F.,Duckworth J.,1.57,2.25,1.6,2.5
ATP,2020-01-16 00:00:00,ASB Classic,Harris L.,Carreno Busta P.,2.62,1.5,2.83,1.5
ATP,2020-01-16 00:00:00,ASB Classic,Rublev A.,Evans D.,1.44,2.75,1.49,2.87
ATP,2020-01-16 00:00:00,ASB Classic,Paul T.,Ramos-Vinolas A.,1.57,2.37,1.56,2.65
ATP,2020-01-16 00:00:00,ASB Classic,Auger-Aliassime F.,Bolt A.,1.44,2.75,1.47,2.97
ATP,2020-01-17 00:00:00,ASB Classic,Harris L.,Paul T.,2.2,1.66,2.15,1.81
ATP,2020-01-17 00:00:00,ASB Classic,Rublev A.,Auger-Aliassime F.,1.44,2.75,1.46,3
ATP,2020-01-18 00:00:00,ASB Classic,Rublev A.,Harris L.,1.33,3.4,1.32,3.8
ATP,2020-01-13 00:00:00,Adelaide International,Hurkacz H.,Sonego L.,1.33,3.25,1.31,3.74
ATP,2020-01-13 00:00:00,Adelaide International,Sandgren T.,Venus M.,1.2,4.33,1.21,4.99
ATP,2020-01-13 00:00:00,Adelaide International,Monteiro T.,Norrie C.,2,1.72,2.35,1.65
ATP,2020-01-13 00:00:00,Adelaide International,Humbert U.,Ruud C.,1.83,1.83,2.03,1.86
ATP,2020-01-13 00:00:00,Adelaide International,Paire B.,Sinner J.,2.1,1.66,2.27,1.7
ATP,2020-01-13 00:00:00,Adelaide International,Ymer M.,Tiafoe F.,2,1.72,2.07,1.83
ATP,2020-01-14 00:00:00,Adelaide International,Pospisil V.,Sousa J.,1.4,2.75,1.45,2.93
ATP,2020-01-14 00:00:00,Adelaide International,Edmund K.,Davidovich Fokina A.,1.5,2.5,1.45,2.93
ATP,2020-01-14 00:00:00,Adelaide International,Millman J.,Mmoh M.,1.61,2.2,1.64,2.36
ATP,2020-01-15 00:00:00,Adelaide International,Seppi A.,Mannarino A.,2.37,1.53,2.45,1.61
ATP,2020-01-15 00:00:00,Adelaide International,Lopez F.,Andujar P.,1.53,2.37,1.52,2.7
ATP,2020-01-15 00:00:00,Adelaide International,Cecchinato M.,Mayer L.,2.37,1.53,2.46,1.6
ATP,2020-01-15 00:00:00,Adelaide International,Isner J.,Sandgren T.,1.57,2.25,1.53,2.71
ATP,2020-01-15 00:00:00,Adelaide International,Hurkacz H.,Ymer M.,1.5,2.5,1.49,2.84
ATP,2020-01-15 00:00:00,Adelaide International,Paire B.,Monteiro T.,1.5,2.5,1.57,2.57
ATP,2020-01-15 00:00:00,Adelaide International,Lopez F.,Fognini F.,2.75,1.4,3.19,1.4
ATP,2020-01-15 00:00:00,Adelaide International,Edmund K.,Seppi A.,1.44,2.62,1.39,3.22
ATP,2020-01-15 00:00:00,Adelaide International,Humbert U.,Cecchinato M.,1.5,2.5,1.39,3.25
ATP,2020-01-15 00:00:00,Adelaide International,Shapovalov D.,Pospisil V.,1.53,2.37,1.51,2.76
ATP,2020-01-15 00:00:00,Adelaide International,Millman J.,Khachanov K.,2.5,1.5,2.62,1.56
ATP,2020-01-16 00:00:00,Adelaide International,Isner J.,Edmund K.,1.9,1.9,1.92,2
ATP,2020-01-16 00:00:00,Adelaide International,Humbert U.,Shapovalov D.,3.2,1.36,3.26,1.4
ATP,2020-01-16 00:00:00,Adelaide International,Paire B.,Millman J.,2.1,1.72,2.33,1.69
ATP,2020-01-16 00:00:00,Adelaide International,Hurkacz H.,Lopez F.,1.33,3.4,1.35,3.61
ATP,2020-01-17 00:00:00,Adelaide International,Humbert U.,Isner J.,1.9,1.9,2.01,1.92
ATP,2020-01-17 00:00:00,Adelaide International,Paire B.,Hurkacz H.,2.37,1.57,2.73,1.53
ATP,2020-01-18 00:00:00,Adelaide International,Humbert U.,Paire B.,1.72,2.1,1.71,2.29
ATP,2020-01-20 00:00:00,Australian Open,Berrettini M.,Harris A.,1.1,7,1.12,7.51
ATP,2020-01-20 00:00:00,Australian Open,Berankis R.,Carballes Baena R.,1.66,2.2,1.76,2.2
ATP,2020-01-20 00:00:00,Australian Open,Evans D.,Mcdonald M.,1.16,5,1.26,4.34
ATP,2020-01-20 00:00:00,Australian Open,Nishioka Y.,Djere L.,1.57,2.37,1.55,2.64
ATP,2020-01-20 00:00:00,Australian Open,Pella G.,Smith J.P.,1.25,4,1.32,3.78
ATP,2020-01-20 00:00:00,Australian Open,Querrey S.,Coric B.,2.2,1.66,2.17,1.78
ATP,2020-01-20 00:00:00,Australian Open,Barrere G.,Safwat M.,1.44,2.75,1.48,2.87
ATP,2020-01-20 00:00:00,Australian Open,Fucsovics M.,Shapovalov D.,5,1.16,5.62,1.18
ATP,2020-01-20 00:00:00,Australian Open,Federer R.,Johnson S.,1.03,15,1.03,17.9
ATP,2020-01-20 00:00:00,Australian Open,Dimitrov G.,Londero J.I.,1.2,4.5,1.19,5.42
ATP,2020-01-20 00:00:00,Australian Open,Tsitsipas S.,Caruso S.,1.02,19,1.01,27.9
ATP,2020-01-20 00:00:00,Australian Open,Kohlschreiber P.,Giron M.,1.28,3.75,1.31,3.85
ATP,2020-01-20 00:00:00,Australian Open,Djokovic N.,Struff J.L.,1.01,23,1.01,26.08
ATP,2020-01-21 00:00:00,Australian Open,Cilic M.,Moutet C.,1.5,2.62,1.44,3.02
ATP,2020-01-21 00:00:00,Australian Open,Davidovich Fokina A.,Gombos N.,1.72,2.1,1.81,2.11
ATP,2020-01-21 00:00:00,Australian Open,Hurkacz H.,Novak D.,1.36,3.2,1.45,3
ATP,2020-01-21 00:00:00,Australian Open,Ito T.,Gunneswaran P.,2.37,1.57,2.55,1.58
ATP,2020-01-21 00:00:00,Australian Open,Millman J.,Humbert U.,2,1.8,2.04,1.87
ATP,2020-01-21 00:00:00,Australian Open,Paire B.,Stebe C.M.,1.36,3.2,1.44,3.02
ATP,2020-01-21 00:00:00,Australian Open,Schwartzman D.,Harris L.,1.33,3.4,1.41,3.17
ATP,2020-01-21 00:00:00,Australian Open,Bautista Agut R.,Lopez F.,1.12,6,1.17,5.92
ATP,2020-01-21 00:00:00,Australian Open,Fognini F.,Opelka R.,2,1.8,2.19,1.76
ATP,2020-01-21 00:00:00,Australian Open,Sinner J.,Purcell M.,1.33,3.4,1.34,3.57
ATP,2020-01-21 00:00:00,Australian Open,Lajovic D.,Edmund K.,2.5,1.53,2.71,1.53
ATP,2020-01-21 00:00:00,Australian Open,Polmans M.,Kukushkin M.,3,1.4,3.05,1.43
ATP,2020-01-21 00:00:00,Australian Open,Raonic M.,Giustino L.,1.1,7,1.08,10.03
ATP,2020-01-21 00:00:00,Australian Open,Paul T.,Mayer L.,1.33,3.4,1.39,3.29
ATP,2020-01-21 00:00:00,Australian Open,Khachanov K.,Vilella Martinez M.,1.05,11,1.06,12.54
ATP,2020-01-21 00:00:00,Australian Open,Thiem D.,Mannarino A.,1.12,6,1.13,7.05
ATP,2020-01-21 00:00:00,Australian Open,Garin C.,Travaglia S.,1.72,2.1,1.78,2.16
ATP,2020-01-21 00:00:00,Australian Open,Sandgren T.,Trungelliti M.,1.53,2.5,1.55,2.65
ATP,2020-01-21 00:00:00,Australian Open,Wawrinka S.,Dzumhur D.,1.14,5.5,1.14,6.93
ATP,2020-01-21 00:00:00,Australian Open,Gulbis E.,Auger-Aliassime F.,4.33,1.22,4.69,1.23
ATP,2020-01-21 00:00:00,Australian Open,Krajinovic F.,Halys Q.,1.25,4,1.25,4.48
ATP,2020-01-21 00:00:00,Australian Open,Thompson J.,Bublik A.,1.9,1.9,1.92,1.99
ATP,2020-01-21 00:00:00,Australian Open,Bedene A.,Duckworth J.,1.72,2.1,1.71,2.28
ATP,2020-01-21 00:00:00,Australian Open,Carreno Busta P.,Kovalik J.,1.11,6.5,1.13,7.2
ATP,2020-01-21 00:00:00,Australian Open,Nadal R.,Dellien H.,1.005,29,1.01,32.09
ATP,2020-01-21 00:00:00,Australian Open,Ymer M.,Uchiyama Y.,1.36,3.2,1.34,3.57
ATP,2020-01-21 00:00:00,Australian Open,Mmoh M.,Andujar P.,1.53,2.5,1.52,2.74
ATP,2020-01-21 00:00:00,Australian Open,Basilashvili N.,Kwon S.W.,1.8,2,2.05,1.86
ATP,2020-01-21 00:00:00,Australian Open,Verdasco F.,Donskoy E.,1.4,3,1.35,3.55
ATP,2020-01-21 00:00:00,Australian Open,Bolt A.,Ramos-Vinolas A.,2.3,1.61,2.36,1.67
ATP,2020-01-21 00:00:00,Australian Open,Seppi A.,Kecmanovic M.,2.75,1.44,2.82,1.49
ATP,2020-01-21 00:00:00,Australian Open,Popyrin A.,Tsonga J.W.,2.62,1.5,2.57,1.57
ATP,2020-01-21 00:00:00,Australian Open,Rublev A.,O'Connell C.,1.06,10,1.05,14.82
ATP,2020-01-21 00:00:00,Australian Open,Gojowczyk P.,Eubanks C.,1.53,2.5,1.62,2.46
ATP,2020-01-21 00:00:00,Australian Open,Sugita Y.,Benchetrit E.,1.44,2.75,1.5,2.8
ATP,2020-01-21 00:00:00,Australian Open,Herbert P.H.,Norrie C.,1.66,2.2,1.64,2.42
ATP,2020-01-21 00:00:00,Australian Open,Medvedev D.,Tiafoe F.,1.07,9,1.06,11.99
ATP,2020-01-21 00:00:00,Australian Open,Monfils G.,Lu Y.H.,1.01,21,1.02,24.4
ATP,2020-01-21 00:00:00,Australian Open,Kyrgios N.,Sonego L.,1.12,6,1.09,9
ATP,2020-01-21 00:00:00,Australian Open,Munar J.,Gaston H.,1.3,3.5,1.3,3.89
ATP,2020-01-21 00:00:00,Australian Open,Fritz T.,Griekspoor T.,1.2,4.5,1.26,4.38
ATP,2020-01-21 00:00:00,Australian Open,Goffin D.,Chardy J.,1.2,4.5,1.24,4.6
ATP,2020-01-21 00:00:00,Australian Open,Delbonis F.,Sousa J.,1.9,1.9,1.81,2.12
ATP,2020-01-21 00:00:00,Australian Open,Tabilo A.,Galan D.E.,2.5,1.53,2.66,1.54
ATP,2020-01-21 00:00:00,Australian Open,Zverev A.,Cecchinato M.,1.08,8,1.12,7.51
ATP,2020-01-21 00:00:00,Australian Open,Isner J.,Monteiro T.,1.3,3.5,1.25,4.42
ATP,2020-01-21 00:00:00,Australian Open,Martinez P.,Koepfer D.,2.5,1.53,2.39,1.65
ATP,2020-01-21 00:00:00,Australian Open,Anderson K.,Ivashka I.,1.22,4.33,1.27,4.18
ATP,2020-01-21 00:00:00,Australian Open,Karlovic I.,Pospisil V.,4,1.25,4.07,1.28
ATP,2020-01-21 00:00:00,Australian Open,Gerasimov E.,Ruud C.,3,1.4,3.11,1.42
ATP,2020-01-21 00:00:00,Australian Open,Simon G.,Cuevas P.,1.44,2.75,1.4,3.2
ATP,2020-01-22 00:00:00,Australian Open,Querrey S.,Berankis R.,1.33,3.4,1.37,3.42
ATP,2020-01-22 00:00:00,Australian Open,Pella G.,Barrere G.,1.4,3,1.44,3.02
ATP,2020-01-22 00:00:00,Australian Open,Nishioka Y.,Evans D.,2.3,1.61,2.41,1.64
ATP,2020-01-22 00:00:00,Australian Open,Cilic M.,Paire B.,1.4,3,1.39,3.3
ATP,2020-01-22 00:00:00,Australian Open,Schwartzman D.,Davidovich Fokina A.,1.12,6,1.17,5.84
ATP,2020-01-22 00:00:00,Australian Open,Fucsovics M.,Sinner J.,2.1,1.72,2.12,1.81
ATP,2020-01-22 00:00:00,Australian Open,Djokovic N.,Ito T.,1.005,29,1.005,37.07
ATP,2020-01-22 00:00:00,Australian Open,Sandgren T.,Berrettini M.,4.5,1.2,5.03,1.21
ATP,2020-01-22 00:00:00,Australian Open,Tsitsipas S.,Kohlschreiber P.,1.14,5.5,1.18,5.76
ATP,2020-01-22 00:00:00,Australian Open,Paul T.,Dimitrov G.,3.2,1.36,3.37,1.37
ATP,2020-01-22 00:00:00,Australian Open,Raonic M.,Garin C.,1.28,3.75,1.31,3.79
ATP,2020-01-22 00:00:00,Australian Open,Lajovic D.,Polmans M.,1.22,4.33,1.24,4.62
ATP,2020-01-22 00:00:00,Australian Open,Millman J.,Hurkacz H.,2,1.8,2.1,1.83
ATP,2020-01-22 00:00:00,Australian Open,Bautista Agut R.,Mmoh M.,1.08,8,1.09,9.17
ATP,2020-01-22 00:00:00,Australian Open,Fognini F.,Thompson J.,1.66,2.2,1.74,2.22
ATP,2020-01-22 00:00:00,Australian Open,Federer R.,Krajinovic F.,1.02,17,1.03,17.74
ATP,2020-01-23 00:00:00,Australian Open,Gulbis E.,Bedene A.,3,1.4,3.04,1.44
ATP,2020-01-23 00:00:00,Australian Open,Medvedev D.,Martinez P.,1.01,21,1.01,27.94
ATP,2020-01-23 00:00:00,Australian Open,Thiem D.,Bolt A.,1.07,9,1.11,8.18
ATP,2020-01-23 00:00:00,Australian Open,Zverev A.,Gerasimov E.,1.2,4.5,1.19,5.42
ATP,2020-01-23 00:00:00,Australian Open,Popyrin A.,Munar J.,1.44,2.75,1.43,3.09
ATP,2020-01-23 00:00:00,Australian Open,Monfils G.,Karlovic I.,1.28,3.75,1.29,4.04
ATP,2020-01-23 00:00:00,Australian Open,Rublev A.,Sugita Y.,1.12,6,1.14,6.9
ATP,2020-01-23 00:00:00,Australian Open,Verdasco F.,Basilashvili N.,1.61,2.3,1.56,2.6
ATP,2020-01-23 00:00:00,Australian Open,Isner J.,Tabilo A.,1.11,6.5,1.13,7.1
ATP,2020-01-23 00:00:00,Australian Open,Goffin D.,Herbert P.H.,1.14,5.5,1.15,6.61
ATP,2020-01-23 00:00:00,Australian Open,Khachanov K.,Ymer M.,1.36,3.2,1.42,3.14
ATP,2020-01-23 00:00:00,Australian Open,Carreno Busta P.,Gojowczyk P.,1.22,4.33,1.24,4.55
ATP,2020-01-23 00:00:00,Australian Open,Kyrgios N.,Simon G.,1.2,4.5,1.21,5.02
ATP,2020-01-23 00:00:00,Australian Open,Wawrinka S.,Seppi A.,1.22,4.33,1.21,5.09
ATP,2020-01-23 00:00:00,Australian Open,Fritz T.,Anderson K.,1.8,2,1.86,2.05
ATP,2020-01-23 00:00:00,Australian Open,Nadal R.,Delbonis F.,29,0.967,1.01,29.89
ATP,2020-01-24 00:00:00,Australian Open,Schwartzman D.,Lajovic D.,1.36,3.2,1.37,3.39
ATP,2020-01-24 00:00:00,Australian Open,Fucsovics M.,Paul T.,1.72,2.1,1.78,2.17
ATP,2020-01-24 00:00:00,Australian Open,Cilic M.,Bautista Agut R.,3.2,1.36,3.56,1.34
ATP,2020-01-24 00:00:00,Australian Open,Djokovic N.,Nishioka Y.,1.01,23,1.01,27.33
ATP,2020-01-24 00:00:00,Australian Open,Sandgren T.,Querrey S.,2.37,1.57,2.77,1.51
ATP,2020-01-24 00:00:00,Australian Open,Raonic M.,Tsitsipas S.,3.2,1.36,3.22,1.4
ATP,2020-01-24 00:00:00,Australian Open,Fognini F.,Pella G.,2.1,1.72,2.13,1.8
ATP,2020-01-24 00:00:00,Australian Open,Federer R.,Millman J.,1.04,13,1.07,11.39
ATP,2020-01-25 00:00:00,Australian Open,Monfils G.,Gulbis E.,1.53,2.5,1.44,3.01
ATP,2020-01-25 00:00:00,Australian Open,Thiem D.,Fritz T.,1.4,3,1.39,3.27
ATP,2020-01-25 00:00:00,Australian Open,Rublev A.,Goffin D.,1.5,2.62,1.47,2.91
ATP,2020-01-25 00:00:00,Australian Open,Nadal R.,Carreno Busta P.,1.03,15,1.05,14.64
ATP,2020-01-25 00:00:00,Australian Open,Wawrinka S.,Isner J.,1.66,2.2,1.61,2.49
ATP,2020-01-25 00:00:00,Australian Open,Kyrgios N.,Khachanov K.,1.36,3.2,1.4,3.23
ATP,2020-01-25 00:00:00,Australian Open,Zverev A.,Verdasco F.,1.44,2.75,1.43,3.07
ATP,2020-01-25 00:00:00,Australian Open,Medvedev D.,Popyrin A.,1.1,7,1.11,8.13
ATP,2020-01-26 00:00:00,Australian Open,Raonic M.,Cilic M.,1.53,2.5,1.56,2.64
ATP,2020-01-26 00:00:00,Australian Open,Djokovic N.,Schwartzman D.,1.04,13,1.05,14.57
ATP,2020-01-26 00:00:00,Australian Open,Sandgren T.,Fognini F.,2.37,1.57,2.49,1.62
ATP,2020-01-26 00:00:00,Australian Open,Federer R.,Fucsovics M.,1.14,5.5,1.16,6.35
ATP,2020-01-27 00:00:00,Australian Open,Thiem D.,Monfils G.,1.3,3.5,1.34,3.64
ATP,2020-01-27 00:00:00,Australian Open,Wawrinka S.,Medvedev D.,3.75,1.28,4.03,1.3
ATP,2020-01-27 00:00:00,Australian Open,Nadal R.,Kyrgios N.,1.16,5,1.18,5.84
ATP,2020-01-27 00:00:00,Australian Open,Zverev A.,Rublev A.,2,1.8,2.16,1.79
ATP,2020-01-28 00:00:00,Australian Open,Federer R.,Sandgren T.,1.08,8,1.11,8.71
ATP,2020-01-28 00:00:00,Australian Open,Djokovic N.,Raonic M.,1.12,6,1.13,7.35
ATP,2020-01-29 00:00:00,Australian Open,Zverev A.,Wawrinka S.,1.66,2.2,1.7,2.31
ATP,2020-01-29 00:00:00,Australian Open,Thiem D.,Nadal R.,3.2,1.36,3.73,1.33
ATP,2020-01-30 00:00:00,Australian Open,Djokovic N.,Federer R.,1.11,6.5,1.14,6.84
ATP,2020-01-31 00:00:00,Australian Open,Thiem D.,Zverev A.,1.5,2.62,1.53,2.73
ATP,2020-02-02 00:00:00,Australian Open,Djokovic N.,Thiem D.,1.25,4,1.27,4.27
ATP,2020-02-03 00:00:00,Cordoba Open,Balazs A.,Sonego L.,2.5,1.5,2.41,1.63
ATP,2020-02-03 00:00:00,Cordoba Open,Mager G.,Ficovich J.P.,1.83,1.83,1.94,1.94
ATP,2020-02-03 00:00:00,Cordoba Open,Cuevas P.,Delbonis F.,2.1,1.66,2.44,1.61
ATP,2020-02-04 00:00:00,Cordoba Open,Taberner C.,Verdasco F.,2.5,1.5,2.97,1.44
ATP,2020-02-04 00:00:00,Cordoba Open,Martin A.,Coria F.,1.8,1.9,1.83,2.07
ATP,2020-02-04 00:00:00,Cordoba Open,Martinez P.,Gaio F.,,,,
ATP,2020-02-04 00:00:00,Cordoba Open,Ramos-Vinolas A.,Bagnis F.,1.5,2.5,1.61,2.44
ATP,2020-02-04 00:00:00,Cordoba Open,Andujar P.,Horansky F.,,,,
ATP,2020-02-04 00:00:00,Cordoba Open,Moutet C.,Monteiro T.,2,1.72,2.27,1.7
ATP,2020-02-04 00:00:00,Cordoba Open,Cachin P.,Dellien H.,3.25,1.33,3.13,1.41
ATP,2020-02-04 00:00:00,Cordoba Open,Londero J.I.,Cecchinato M.,1.57,2.25,1.65,2.36
ATP,2020-02-05 00:00:00,Cordoba Open,Munar J.,Mayer L.,1.8,1.9,1.74,2.2
ATP,2020-02-05 00:00:00,Cordoba Open,Martin A.,Taberner C.,2,1.72,2.16,1.78
ATP,2020-02-05 00:00:00,Cordoba Open,Cuevas P.,Mager G.,1.4,2.75,1.47,2.93
ATP,2020-02-05 00:00:00,Cordoba Open,Moutet C.,Pella G.,2.1,1.66,2.69,1.53
ATP,2020-02-06 00:00:00,Cordoba Open,Garin C.,Balazs A.,1.44,2.62,1.43,3.06
ATP,2020-02-06 00:00:00,Cordoba Open,Djere L.,Martinez P.,1.57,2.25,1.71,2.27
ATP,2020-02-06 00:00:00,Cordoba Open,Ramos-Vinolas A.,Andujar P.,1.72,2,1.83,2.09
ATP,2020-02-07 00:00:00,Cordoba Open,Londero J.I.,Cachin P.,1.22,4,1.26,4.34
ATP,2020-02-07 00:00:00,Cordoba Open,Schwartzman D.,Munar J.,1.28,3.5,1.31,3.81
ATP,2020-02-07 00:00:00,Cordoba Open,Martin A.,Moutet C.,2.37,1.57,2.37,1.67
ATP,2020-02-07 00:00:00,Cordoba Open,Garin C.,Cuevas P.,1.53,2.5,1.57,2.6
ATP,2020-02-07 00:00:00,Cordoba Open,Schwartzman D.,Ramos-Vinolas A.,1.25,4,1.2,5.32
ATP,2020-02-08 00:00:00,Cordoba Open,Djere L.,Londero J.I.,2.2,1.66,2.33,1.69
ATP,2020-02-08 00:00:00,Cordoba Open,Garin C.,Martin A.,1.5,2.62,1.61,2.52
ATP,2020-02-09 00:00:00,Cordoba Open,Schwartzman D.,Djere L.,1.16,5,1.18,5.78
ATP,2020-02-09 00:00:00,Cordoba Open,Garin C.,Schwartzman D.,3,1.4,3.28,1.4
ATP,2020-02-03 00:00:00,Open Sud de France,Pospisil V.,Bedene A.,1.8,1.9,1.78,2.15
ATP,2020-02-03 00:00:00,Open Sud de France,Barrere G.,Sousa J.,1.57,2.25,1.66,2.34
ATP,2020-02-03 00:00:00,Open Sud de France,Gombos N.,Carreno Busta P.,2.62,1.44,2.85,1.47
ATP,2020-02-04 00:00:00,Open Sud de France,Bublik A.,Laaksonen H.,1.4,2.75,1.42,3.07
ATP,2020-02-04 00:00:00,Open Sud de France,Ymer M.,Sinner J.,2.2,1.61,2.18,1.75
ATP,2020-02-04 00:00:00,Open Sud de France,Ruusuvuori E.,Novak D.,1.66,2.1,1.65,2.37
ATP,2020-02-04 00:00:00,Open Sud de France,Krajinovic F.,Couacaud E.,1.36,3,1.48,2.82
ATP,2020-02-04 00:00:00,Open Sud de France,Herbert P.H.,Stakhovsky S.,1.36,3,1.35,3.47
ATP,2020-02-04 00:00:00,Open Sud de France,Auger-Aliassime F.,Dzumhur D.,1.53,2.37,1.57,2.55
ATP,2020-02-05 00:00:00,Open Sud de France,Mannarino A.,Popyrin A.,1.72,2,1.75,2.19
ATP,2020-02-05 00:00:00,Open Sud de France,Lopez F.,Humbert U.,2.62,1.44,2.83,1.48
ATP,2020-02-05 00:00:00,Open Sud de France,Gasquet R.,Simon G.,3,1.36,3,1.44
ATP,2020-02-05 00:00:00,Open Sud de France,Barrere G.,Dimitrov G.,2.62,1.44,2.98,1.45
ATP,2020-02-05 00:00:00,Open Sud de France,Pospisil V.,Shapovalov D.,2.62,1.44,2.85,1.48
ATP,2020-02-06 00:00:00,Open Sud de France,Krajinovic F.,Ymer M.,1.72,2,1.83,2.09
ATP,2020-02-06 00:00:00,Open Sud de France,Goffin D.,Bublik A.,1.33,3.25,1.36,3.45
ATP,2020-02-06 00:00:00,Open Sud de France,Gasquet R.,Lopez F.,1.9,1.8,1.85,2.06
ATP,2020-02-06 00:00:00,Open Sud de France,Gombos N.,Ruusuvuori E.,2.2,1.61,2.41,1.64
